,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
2806,9/9/2009,Yes,USA,IRD:Mallard/Avian,CY140835,CY140834,CY140833,CY140828,CY140831,CY140830,CY140829,CY140832,Minnesota,A/mallard/Minnesota/AI09-3353/2009,H2N9
2807,9/12/2009,Yes,USA,IRD:Teal/Avian,CY140894,CY140893,CY140892,CY140884,CY140888,CY140887,CY140886,CY140890,Minnesota,A/mallard/Minnesota/AI09-3819/2009,(H6)
2808,9/13/2009,Yes,USA,IRD:Mallard/Avian,CY140902,CY140901,CY140900,CY140895,CY140898,CY140897,CY140896,CY140899,Minnesota,A/mallard/Minnesota/AI09-3821/2009,H4N6
2809,9/6/2009,Yes,USA,IRD:Teal/Avian,CY140918,CY140917,CY140916,CY140911,CY140914,CY140913,CY140912,CY140915,Minnesota,A/mallard/Minnesota/AI09-4022/2009,H3N2
2810,9/15/2009,Yes,USA,IRD:Mallard/Avian,CY140952,CY140951,CY140950,CY140943,CY140947,CY140945,CY140944,CY140949,Minnesota,A/mallard/Minnesota/AI09-4324/2009,(N8)
2811,8/4/2010,Yes,USA,IRD:Mallard/Avian,CY141104,CY141103,CY141102,CY141097,CY141100,CY141099,CY141098,CY141101,Minnesota,A/mallard/Minnesota/AI10-2217/2010,H12N5
2812,9/1/2010,Yes,USA,IRD:Mallard/Avian,CY141150,CY141149,CY141148,CY141143,CY141146,CY141145,CY141144,CY141147,Minnesota,A/mallard/Minnesota/AI10-2762/2010,H11N9
2813,12/10/2010,Yes,USA,IRD:Mallard/Avian,CY133305,CY133304,CY133303,CY133298,CY133301,CY133300,CY133299,CY133302,Mississippi,A/mallard/Mississippi/10OS4494/2010,H1N1
2814,12/11/2010,Yes,USA,IRD:Mallard/Avian,CY133297,CY133296,CY133295,CY133290,CY133293,CY133292,CY133291,CY133294,Mississippi,A/mallard/Mississippi/10OS4593/2010,H1N2
2815,1/7/2011,Yes,USA,IRD:Mallard/Avian,CY133720,CY133719,CY133718,CY133713,CY133716,CY133715,CY133714,CY133717,Mississippi,A/mallard/Mississippi/11OS34/2011,H1N3
2816,1/16/2010,Yes,USA,IRD:Mallard/Avian,CY097701,CY097700,CY097699,CY097694,CY097697,CY097696,CY097695,CY097698,Mississippi,A/mallard/Mississippi/329/2010(H10N7),H10N7
2817,1/16/2010,Yes,USA,IRD:Mallard/Avian,CY097709,CY097708,CY097707,CY097702,CY097705,CY097704,CY097703,CY097706,Mississippi,A/mallard/Mississippi/354/2010(H3N8),H3N8
2818,1/16/2010,Yes,USA,IRD:Mallard/Avian,CY097717,CY097716,CY097715,CY097710,CY097713,CY097712,CY097711,CY097714,Mississippi,A/mallard/Mississippi/360/2010(H3N8),H3N8
2819,1/17/2010,Yes,USA,IRD:Mallard/Avian,CY097725,CY097724,CY097723,CY097718,CY097721,CY097720,CY097719,CY097722,Mississippi,A/mallard/Mississippi/386/2010(H3N8),H3N8
2820,1/17/2010,Yes,USA,IRD:Mallard/Avian,CY097733,CY097732,CY097731,CY097726,CY097729,CY097728,CY097727,CY097730,Mississippi,A/mallard/Mississippi/390/2010(H3N8),H3N8
2821,1/16/2010,Yes,USA,IRD:Mallard/Avian,CY097760,CY097759,CY097758,CY097752,CY097756,CY097754,CY097753,CY097757,Mississippi,A/mallard/Mississippi/407/2010(mixed),(N2)
2822,1/17/2010,Yes,USA,IRD:Mallard/Avian,CY097769,CY097768,CY097767,CY097762,CY097765,CY097764,CY097763,CY097766,Mississippi,A/mallard/Mississippi/413/2010(H1N1),H1N1
2823,1/19/2010,Yes,USA,IRD:Mallard/Avian,CY097777,CY097776,CY097775,CY097770,CY097773,CY097772,CY097771,CY097774,Mississippi,A/mallard/Mississippi/442/2010(H1N1),H1N1
2824,11/16/2010,Yes,USA,IRD:Mallard/Avian,CY133808,CY133807,CY133806,CY133801,CY133804,CY133803,CY133802,CY133805,Missouri,A/mallard/Missouri/10MO0253/2010,H1N2
2825,12/22/2010,Yes,USA,IRD:Mallard/Avian,CY133832,CY133831,CY133830,CY133825,CY133828,CY133827,CY133826,CY133829,Missouri,A/mallard/Missouri/10MO0333/2010,H11N9
2826,12/22/2010,Yes,USA,IRD:Mallard/Avian,CY133842,CY133841,CY133840,CY133833,CY133837,CY133835,CY133834,CY133838,Missouri,A/mallard/Missouri/10MO0334/2010,(H11)
2827,12/22/2010,Yes,USA,IRD:Mallard/Avian,CY133850,CY133849,CY133848,CY133843,CY133846,CY133845,CY133844,CY133847,Missouri,A/mallard/Missouri/10MO0391/2010,H10N7
2828,11/16/2010,Yes,USA,IRD:Mallard/Avian,CY133784,CY133783,CY133782,CY133777,CY133780,CY133779,CY133778,CY133781,Missouri,A/mallard/Missouri/10MO053/2010,H7N4
2829,12/29/2010,Yes,USA,IRD:Mallard/Avian,CY133876,CY133875,CY133874,CY133869,CY133872,CY133871,CY133870,CY133873,Missouri,A/mallard/Missouri/10MO0550/2010,H11N3
2830,12/29/2010,Yes,USA,IRD:Mallard/Avian,CY132148,CY132147,CY132146,CY132141,CY132144,CY132143,CY132142,CY132145,Missouri,A/mallard/Missouri/10MO0551/2010(H7N7),H7N7
2831,11/16/2010,Yes,USA,IRD:Mallard/Avian,CY133792,CY133791,CY133790,CY133785,CY133788,CY133787,CY133786,CY133789,Missouri,A/mallard/Missouri/10MO084/2010,H5N9
2832,12/12/2010,Yes,USA,IRD:Mallard/Avian,CY133380,CY133379,CY133378,CY133373,CY133376,CY133375,CY133374,CY133377,Missouri,A/mallard/Missouri/10OS4670/2010,H9N2
2833,12/7/2009,Yes,USA,IRD:Mallard/Avian,CY097597,CY097596,CY097595,CY097590,CY097593,CY097592,CY097591,CY097594,Missouri,A/mallard/Missouri/129/2009(H6N2),H6N2
2834,12/7/2009,Yes,USA,IRD:Mallard/Avian,CY097605,CY097604,CY097603,CY097598,CY097601,CY097600,CY097599,CY097602,Missouri,A/mallard/Missouri/132/2009(H2N3),H2N3
2835,12/7/2009,Yes,USA,IRD:Mallard/Avian,CY097629,CY097628,CY097627,CY097622,CY097625,CY097624,CY097623,CY097626,Missouri,A/mallard/Missouri/220/2009(H7N3),H7N3
2836,12/6/2009,Yes,USA,IRD:Mallard/Avian,CY097100,CY097099,CY097098,CY097093,CY097096,CY097095,CY097094,CY097097,Missouri,A/mallard/Missouri/350/2009,H11N9
2837,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138663,CY138662,CY138661,CY138656,CY138659,CY138658,CY138657,CY138660,-N/A-,A/mallard/New Brunswick/00324/2010,H1N1
2838,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138687,CY138686,CY138685,CY138680,CY138683,CY138682,CY138681,CY138684,-N/A-,A/mallard/New Brunswick/00329/2010,H1N1
2840,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138744,CY138743,CY138742,CY138737,CY138740,CY138739,CY138738,CY138741,-N/A-,A/mallard/New Brunswick/00337/2010,H1N1
2841,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138752,CY138751,CY138750,CY138745,CY138748,CY138747,CY138746,CY138749,-N/A-,A/mallard/New Brunswick/00339/2010,H1N1
2842,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138760,CY138759,CY138758,CY138753,CY138756,CY138755,CY138754,CY138757,-N/A-,A/mallard/New Brunswick/00340/2010,H1N1
2843,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138768,CY138767,CY138766,CY138761,CY138764,CY138763,CY138762,CY138765,-N/A-,A/mallard/New Brunswick/00341/2010,H3N8
2844,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138792,CY138791,CY138790,CY138785,CY138788,CY138787,CY138786,CY138789,-N/A-,A/mallard/New Brunswick/00349/2010,H1N1
2846,8/12/2010,Yes,Canada,IRD:Mallard/Avian,CY139013,CY139011,CY139010,CY139003,CY139007,CY139005,CY139004,CY139008,-N/A-,A/mallard/New Brunswick/00492/2010,(H3)
2847,8/12/2010,Yes,Canada,IRD:Mallard/Avian,CY139023,CY139022,CY139021,CY139014,CY139019,CY139018,CY139016,CY139020,-N/A-,A/mallard/New Brunswick/00494/2010,(N8)
2848,8/12/2010,Yes,Canada,IRD:Mallard/Avian,CY139031,CY139030,CY139029,CY139024,CY139027,CY139026,CY139025,CY139028,-N/A-,A/mallard/New Brunswick/00495/2010,H3N8
2849,8/15/2010,Yes,Canada,IRD:Mallard/Avian,CY139106,CY139105,CY139104,CY139099,CY139102,CY139101,CY139100,CY139103,-N/A-,A/mallard/New Brunswick/00593/2010,H3N7
2850,9/13/2010,Yes,Canada,IRD:Mallard/Avian,CY139326,CY139325,CY139324,CY139319,CY139322,CY139321,CY139320,CY139323,-N/A-,A/mallard/New Brunswick/00854/2010,H4N6
2853,9/16/2010,Yes,Canada,IRD:Mallard/Avian,CY139504,CY139503,CY139502,CY139497,CY139500,CY139499,CY139498,CY139501,-N/A-,A/mallard/New Brunswick/00979/2010,H4N8
2855,8/9/2009,Yes,Canada,IRD:Mallard/Avian,CY129045,CY129044,CY129043,CY129038,CY129041,CY129040,CY129039,CY129042,-N/A-,A/mallard/New Brunswick/03396/2009,H3N8
2856,8/9/2009,Yes,Canada,IRD:Mallard/Avian,CY129005,CY129004,CY129003,CY128998,CY129001,CY129000,CY128999,CY129002,-N/A-,A/mallard/New Brunswick/03397/2009,H3N8
2857,8/14/2009,Yes,Canada,IRD:Mallard/Avian,CY128563,CY128562,CY128561,CY128556,CY128559,CY128558,CY128557,CY128560,-N/A-,A/mallard/New Brunswick/03482/2009,H3N8
2858,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146472,CY146471,CY146470,CY146464,CY146468,CY146467,CY146465,CY146469,New Jersey,A/mallard/New Jersey/AI09-5086/2009,(H4)
2859,9/29/2009,Yes,USA,IRD:Mallard/Avian,CY146480,CY146479,CY146478,CY146473,CY146476,CY146475,CY146474,CY146477,New Jersey,A/mallard/New Jersey/AI09-5121/2009,H3N8
2860,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146488,CY146487,CY146486,CY146481,CY146484,CY146483,CY146482,CY146485,New Jersey,A/mallard/New Jersey/AI09-5122/2009,H11N9
2861,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146496,CY146495,CY146494,CY146489,CY146492,CY146491,CY146490,CY146493,New Jersey,A/mallard/New Jersey/AI09-5137/2009,H4N9
2862,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146504,CY146503,CY146502,CY146497,CY146500,CY146499,CY146498,CY146501,New Jersey,A/mallard/New Jersey/AI09-5361/2009,H11N9
2863,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146512,CY146511,CY146510,CY146505,CY146508,CY146507,CY146506,CY146509,New Jersey,A/mallard/New Jersey/AI09-5405/2009,H6N2
2864,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146528,CY146527,CY146526,CY146521,CY146524,CY146523,CY146522,CY146525,New Jersey,A/mallard/New Jersey/AI09-6426/2009,H4N9
2865,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146536,CY146535,CY146534,CY146529,CY146532,CY146531,CY146530,CY146533,New Jersey,A/mallard/New Jersey/AI09-6434/2009,H6N2
2866,9/28/2009,Yes,USA,IRD:Mallard/Avian,CY146544,CY146543,CY146542,CY146537,CY146540,CY146539,CY146538,CY146541,New Jersey,A/mallard/New Jersey/AI09-6446/2009,H4N1
2867,9/10/2010,Yes,Canada,IRD:Mallard/Avian,CY138543,CY138542,CY138541,CY138536,CY138539,CY138538,CY138537,CY138540,-N/A-,A/mallard/Nova Scotia/00084/2010,H1N1
2868,9/10/2010,Yes,Canada,IRD:Mallard/Avian,CY138551,CY138550,CY138549,CY138544,CY138547,CY138546,CY138545,CY138548,-N/A-,A/mallard/Nova Scotia/00085/2010,H1N1
2869,9/10/2010,Yes,Canada,IRD:Mallard/Avian,CY138567,CY138566,CY138565,CY138560,CY138563,CY138562,CY138561,CY138564,-N/A-,A/mallard/Nova Scotia/00088/2010,H1N1
2870,9/10/2010,Yes,Canada,IRD:Mallard/Avian,CY138607,CY138606,CY138605,CY138600,CY138603,CY138602,CY138601,CY138604,-N/A-,A/mallard/Nova Scotia/00093/2010,H1N1
2871,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138784,CY138783,CY138782,CY138777,CY138780,CY138779,CY138778,CY138781,-N/A-,A/mallard/Nova Scotia/00346/2010,H1N1
2872,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138808,CY138807,CY138806,CY138801,CY138804,CY138803,CY138802,CY138805,-N/A-,A/mallard/Nova Scotia/00372/2010,H7N7
2873,8/8/2010,Yes,Canada,IRD:Mallard/Avian,CY138816,CY138815,CY138814,CY138809,CY138812,CY138811,CY138810,CY138813,-N/A-,A/mallard/Nova Scotia/00375/2010,H10N7
2874,9/7/2010,Yes,Canada,IRD:Mallard/Avian,CY139262,CY139261,CY139260,CY139255,CY139258,CY139257,CY139256,CY139259,-N/A-,A/mallard/Nova Scotia/00778/2010,H3N8
2875,9/20/2010,Yes,Canada,IRD:Mallard/Avian,CY139565,CY139564,CY139563,CY139558,CY139561,CY139560,CY139559,CY139562,-N/A-,A/mallard/Nova Scotia/01013/2010,H6N1
2876,9/20/2010,Yes,Canada,IRD:Mallard/Avian,CY139573,CY139572,CY139571,CY139566,CY139569,CY139568,CY139567,CY139570,-N/A-,A/mallard/Nova Scotia/01016/2010,H3N8
2877,9/20/2010,Yes,Canada,IRD:Mallard/Avian,CY139584,CY139583,CY139581,CY139575,CY139579,CY139578,CY139576,CY139580,-N/A-,A/mallard/Nova Scotia/01017/2010,(N1)
2878,8/6/2009,Yes,Canada,IRD:Mallard/Avian,CY125621,CY125620,CY125619,CY125614,CY125617,CY125616,CY125615,CY125618,-N/A-,A/mallard/Nova Scotia/03271/2009,H3N8
2879,8/2/2010,Yes,USA,IRD:Mallard/Avian,CY132140,CY132139,CY132138,CY132133,CY132136,CY132135,CY132134,CY132137,Ohio,A/mallard/Ohio/10OS1319/2010(H4N6),H4N6
2880,8/6/2010,Yes,USA,IRD:Mallard/Avian,CY132092,CY132091,CY132090,CY132085,CY132088,CY132087,CY132086,CY132089,Ohio,A/mallard/Ohio/10OS1354/2010(H6N1),H6N1
2881,8/18/2010,Yes,USA,IRD:Mallard/Avian,CY132100,CY132099,CY132098,CY132093,CY132096,CY132095,CY132094,CY132097,Ohio,A/mallard/Ohio/10OS1467/2010(H3N2),H3N2
2882,8/18/2010,Yes,USA,IRD:Mallard/Avian,CY132108,CY132107,CY132106,CY132101,CY132104,CY132103,CY132102,CY132105,Ohio,A/mallard/Ohio/10OS1469/2010(H3N2),H3N2
2883,8/18/2010,Yes,USA,IRD:Mallard/Avian,CY132116,CY132115,CY132114,CY132109,CY132112,CY132111,CY132110,CY132113,Ohio,A/mallard/Ohio/10OS1470/2010(H3N2),H3N2
2885,8/10/2009,Yes,USA,IRD:Mallard/Avian,CY097108,CY097107,CY097106,CY097101,CY097104,CY097103,CY097102,CY097105,Ohio,A/mallard/Ohio/1686/2009(H6N9),H6N9
2886,8/10/2009,Yes,USA,IRD:Mallard/Avian,CY097653,CY097652,CY097651,CY097646,CY097649,CY097648,CY097647,CY097650,Ohio,A/mallard/Ohio/1688/2009,H12N5
2887,8/10/2009,Yes,USA,IRD:Mallard/Avian,CY097116,CY097115,CY097114,CY097109,CY097112,CY097111,CY097110,CY097113,Ohio,A/mallard/Ohio/1690/2009(H6N1),H6N1
2888,8/25/2009,Yes,USA,IRD:Mallard/Avian,CY097669,CY097668,CY097667,CY097662,CY097665,CY097664,CY097663,CY097666,Ohio,A/mallard/Ohio/1695/2009,H4N6
2889,8/3/2009,Yes,USA,IRD:Mallard/Avian,CY097661,CY097660,CY097659,CY097654,CY097657,CY097656,CY097655,CY097658,Ohio,A/mallard/Ohio/2031/2009(H4N9),H4N9
2890,8/3/2009,Yes,USA,IRD:Mallard/Avian,CY097124,CY097123,CY097122,CY097117,CY097120,CY097119,CY097118,CY097121,Ohio,A/mallard/Ohio/2033/2009,H4N9
2892,8/3/2009,Yes,USA,IRD:Mallard/Avian,CY097142,CY097141,CY097140,CY097135,CY097138,CY097137,CY097136,CY097139,Ohio,A/mallard/Ohio/2043/2009,H6N1
2893,8/18/2009,Yes,Canada,IRD:Mallard/Avian,CY125613,CY125612,CY125611,CY125606,CY125609,CY125608,CY125607,CY125610,-N/A-,A/mallard/Quebec/02916-1/2009(H16N3),H16N3
2894,9/25/2010,Yes,USA,IRD:Mallard/Avian,CY132696,CY132695,CY132694,CY132689,CY132692,CY132691,CY132690,CY132693,Wisconsin,A/mallard/Wisconsin/10OS1604/2010,H5N2
2895,9/26/2010,Yes,USA,IRD:Mallard/Avian,CY132932,CY132931,CY132930,CY132925,CY132928,CY132927,CY132926,CY132929,Wisconsin,A/mallard/Wisconsin/10OS2524/2010,H11N2
2896,9/26/2010,Yes,USA,IRD:Mallard/Avian,CY132940,CY132939,CY132938,CY132933,CY132936,CY132935,CY132934,CY132937,Wisconsin,A/mallard/Wisconsin/10OS2538/2010,H3N2
2897,10/2/2010,Yes,USA,IRD:Mallard/Avian,CY133076,CY133075,CY133074,CY133069,CY133072,CY133071,CY133070,CY133073,Wisconsin,A/mallard/Wisconsin/10OS2659/2010,H4N2
2898,10/1/2010,Yes,USA,IRD:Mallard/Avian,CY133068,CY133067,CY133066,CY133061,CY133064,CY133063,CY133062,CY133065,Wisconsin,A/mallard/Wisconsin/10OS2667/2010,H11N9
2899,10/2/2010,Yes,USA,IRD:Mallard/Avian,CY133084,CY133083,CY133082,CY133077,CY133080,CY133079,CY133078,CY133081,Wisconsin,A/mallard/Wisconsin/10OS2672/2010,H5N1
2900,9/26/2010,Yes,USA,IRD:Mallard/Avian,CY132956,CY132955,CY132954,CY132949,CY132952,CY132951,CY132950,CY132953,Wisconsin,A/mallard/Wisconsin/10OS2773/2010,H3N8
2901,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133192,CY133191,CY133190,CY133185,CY133188,CY133187,CY133186,CY133189,Wisconsin,A/mallard/Wisconsin/10OS2889/2010,H11N9
2902,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133200,CY133199,CY133198,CY133193,CY133196,CY133195,CY133194,CY133197,Wisconsin,A/mallard/Wisconsin/10OS2900/2010,H3N2
2903,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133208,CY133207,CY133206,CY133201,CY133204,CY133203,CY133202,CY133205,Wisconsin,A/mallard/Wisconsin/10OS2909/2010,H3N8
2904,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133216,CY133215,CY133214,CY133209,CY133212,CY133211,CY133210,CY133213,Wisconsin,A/mallard/Wisconsin/10OS2917/2010,H4N6
2905,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133224,CY133223,CY133222,CY133217,CY133220,CY133219,CY133218,CY133221,Wisconsin,A/mallard/Wisconsin/10OS2918/2010,H4N6
2906,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133233,CY133232,CY133231,CY133226,CY133229,CY133228,CY133227,CY133230,Wisconsin,A/mallard/Wisconsin/10OS2945/2010,(H4)
2907,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133249,CY133248,CY133247,CY133242,CY133245,CY133244,CY133243,CY133246,Wisconsin,A/mallard/Wisconsin/10OS3051/2010,H4N2
2908,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133257,CY133256,CY133255,CY133250,CY133253,CY133252,CY133251,CY133254,Wisconsin,A/mallard/Wisconsin/10OS3066/2010,H6N2
2909,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133265,CY133264,CY133263,CY133258,CY133261,CY133260,CY133259,CY133262,Wisconsin,A/mallard/Wisconsin/10OS3067/2010,H4N2
2910,10/3/2010,Yes,USA,IRD:Mallard/Avian,CY133144,CY133143,CY133142,CY133137,CY133140,CY133139,CY133138,CY133141,Wisconsin,A/mallard/Wisconsin/10OS3084/2010,H3N8
2911,10/29/2010,Yes,USA,IRD:Mallard/Avian,CY133168,CY133167,CY133166,CY133161,CY133164,CY133163,CY133162,CY133165,Wisconsin,A/mallard/Wisconsin/10OS3144/2010,H6N1
2913,10/29/2010,Yes,USA,IRD:Mallard/Avian,CY133176,CY133175,CY133174,CY133169,CY133172,CY133171,CY133170,CY133173,Wisconsin,A/mallard/Wisconsin/10OS3169/2010,H4N9
2914,10/30/2010,Yes,USA,IRD:Mallard/Avian,CY133321,CY133320,CY133319,CY133314,CY133317,CY133316,CY133315,CY133318,Wisconsin,A/mallard/Wisconsin/10OS3171/2010,H7N3
2916,11/12/2010,Yes,USA,IRD:Mallard/Avian,CY133339,CY133338,CY133337,CY133332,CY133335,CY133334,CY133333,CY133336,Wisconsin,A/mallard/Wisconsin/10OS3845/2010,H5N2
2917,11/13/2010,Yes,USA,IRD:Mallard/Avian,CY133347,CY133346,CY133345,CY133340,CY133343,CY133342,CY133341,CY133344,Wisconsin,A/mallard/Wisconsin/10OS3866/2010,H3N6
2920,11/30/2010,Yes,USA,IRD:Mallard/Avian,CY133052,CY133051,CY133050,CY133045,CY133048,CY133047,CY133046,CY133049,Wisconsin,A/mallard/Wisconsin/10OS4193/2010,H11N9
2921,11/30/2010,Yes,USA,IRD:Mallard/Avian,CY133060,CY133059,CY133058,CY133053,CY133056,CY133055,CY133054,CY133057,Wisconsin,A/mallard/Wisconsin/10OS4194/2010,H11N9
2922,8/18/2009,Yes,USA,IRD:Mallard/Avian,CY097284,CY097283,CY097282,CY097277,CY097280,CY097279,CY097278,CY097281,Wisconsin,A/mallard/Wisconsin/1534/2009,H6N8
2923,8/18/2009,Yes,USA,IRD:Mallard/Avian,CY097292,CY097291,CY097290,CY097285,CY097288,CY097287,CY097286,CY097289,Wisconsin,A/mallard/Wisconsin/1538/2009,H4N6
2924,10/4/2009,Yes,USA,IRD:Mallard/Avian,CY097453,CY097452,CY097451,CY097446,CY097449,CY097448,CY097447,CY097450,Wisconsin,A/mallard/Wisconsin/2530/2009,H4N2
2926,10/5/2009,Yes,USA,IRD:Mallard/Avian,CY097333,CY097332,CY097331,CY097326,CY097329,CY097328,CY097327,CY097330,Wisconsin,A/mallard/Wisconsin/2549/2009,H3N2
2927,10/5/2009,Yes,USA,IRD:Mallard/Avian,CY097341,CY097340,CY097339,CY097334,CY097337,CY097336,CY097335,CY097338,Wisconsin,A/mallard/Wisconsin/2560/2009,H2N3
2928,10/6/2009,Yes,USA,IRD:Mallard/Avian,CY097349,CY097348,CY097347,CY097342,CY097345,CY097344,CY097343,CY097346,Wisconsin,A/mallard/Wisconsin/2575/2009,H3N2
2929,10/6/2009,Yes,USA,IRD:Mallard/Avian,CY097357,CY097356,CY097355,CY097350,CY097353,CY097352,CY097351,CY097354,Wisconsin,A/mallard/Wisconsin/2576/2009,H5N1
2930,10/17/2009,Yes,USA,IRD:Mallard/Avian,CY097017,CY097016,CY097015,CY097010,CY097013,CY097012,CY097011,CY097014,Wisconsin,A/mallard/Wisconsin/2653/2009,H4N6
2931,10/11/2009,Yes,USA,IRD:Mallard/Avian,CY097041,CY097040,CY097039,CY097034,CY097037,CY097036,CY097035,CY097038,Wisconsin,A/mallard/Wisconsin/2712/2009,H3N6
2932,10/17/2009,Yes,USA,IRD:Mallard/Avian,CY097485,CY097484,CY097483,CY097478,CY097481,CY097480,CY097479,CY097482,Wisconsin,A/mallard/Wisconsin/2719/2009,H4N2
2933,10/30/2009,Yes,USA,IRD:Mallard/Avian,CY097009,CY097008,CY097007,CY097002,CY097005,CY097004,CY097003,CY097006,Wisconsin,A/mallard/Wisconsin/2755/2009,H1N1
2934,10/30/2009,Yes,USA,IRD:Mallard/Avian,CY097373,CY097372,CY097371,CY097366,CY097369,CY097368,CY097367,CY097370,Wisconsin,A/mallard/Wisconsin/2756/2009,H1N1
2935,10/31/2009,Yes,USA,IRD:Mallard/Avian,CY097381,CY097380,CY097379,CY097374,CY097377,CY097376,CY097375,CY097378,Wisconsin,A/mallard/Wisconsin/2785/2009,H2N3
2936,10/31/2009,Yes,USA,IRD:Mallard/Avian,CY097389,CY097388,CY097387,CY097382,CY097385,CY097384,CY097383,CY097386,Wisconsin,A/mallard/Wisconsin/3165/2009(H1N1),H1N1
2937,12/3/2009,Yes,USA,IRD:Mallard/Avian,CY097397,CY097396,CY097395,CY097390,CY097393,CY097392,CY097391,CY097394,Wisconsin,A/mallard/Wisconsin/4194/2009(H1N1),H1N1
2939,12/3/2009,Yes,USA,IRD:Mallard/Avian,CY097413,CY097412,CY097411,CY097406,CY097409,CY097408,CY097407,CY097410,Wisconsin,A/mallard/Wisconsin/4197/2009(H1N1),H1N1
2940,12/3/2009,Yes,USA,IRD:Mallard/Avian,CY097429,CY097428,CY097427,CY097422,CY097425,CY097424,CY097423,CY097426,Wisconsin,A/mallard/Wisconsin/4203/2009,H11N9
2941,12/5/2009,Yes,USA,IRD:Mallard/Avian,CY097276,CY097275,CY097274,CY097269,CY097272,CY097271,CY097270,CY097273,Wisconsin,A/mallard/Wisconsin/4218/2009,H12N5
2942,12/6/2009,Yes,USA,IRD:Mallard/Avian,CY097308,CY097307,CY097306,CY097301,CY097304,CY097303,CY097302,CY097305,Wisconsin,A/mallard/Wisconsin/4230/2009,H10N1
2945,8/19/2009,Yes,Canada,IRD:Northern Pintail/Avian,CY103518,CY103517,CY103516,CY103511,CY103514,CY103513,CY103512,CY103515,-N/A-,A/northern pintail/Alberta/8/2009,H3N8
2946,10/23/2010,Yes,USA,IRD:Northern Pintail/Avian,CY134398,CY134397,CY134396,CY134391,CY134394,CY134393,CY134392,CY134395,California,A/northern pintail/California/2548/2010,H11N2
2947,12/4/2010,Yes,USA,IRD:Northern Pintail/Avian,CY120658,CY120657,CY120656,CY120651,CY120654,CY120653,CY120652,CY120655,California,A/northern pintail/California/3452/2010,H1N1
2948,12/8/2010,Yes,USA,IRD:Northern Pintail/Avian,CY120666,CY120665,CY120664,CY120659,CY120662,CY120661,CY120660,CY120663,California,A/northern pintail/California/3466/2010,H1N3
2950,11/21/2010,Yes,USA,IRD:Northern Pintail/Avian,CY132884,CY132883,CY132882,CY132877,CY132880,CY132879,CY132878,CY132881,Illinois,A/northern pintail/Illinois/10OS3959/2010,H7N3
2951,5/14/2010,Yes,USA,IRD:Northern Pintail/Avian,CY130420,CY130419,CY130418,CY130413,CY130416,CY130415,CY130414,CY130417,Alaska,A/northern pintail/Interior Alaska/10BM00303R0/2010,H3N8
2952,5/23/2010,Yes,USA,IRD:Northern Pintail/Avian,CY130484,CY130483,CY130482,CY130477,CY130480,CY130479,CY130478,CY130481,Alaska,A/northern pintail/Interior Alaska/10BM00849R2/2010,H3N1
2953,6/22/2010,Yes,USA,IRD:Northern Pintail/Avian,CY130395,CY130394,CY130393,CY130388,CY130391,CY130390,CY130389,CY130392,Alaska,A/northern pintail/Interior Alaska/10BM02539R0/2010,H7N3
2955,6/22/2010,Yes,USA,IRD:Northern Pintail/Avian,CY130231,CY130230,CY130229,CY130224,CY130227,CY130226,CY130225,CY130228,Alaska,A/northern pintail/Interior Alaska/10BM02561R0/2010,H12N5
2956,6/22/2010,Yes,USA,IRD:Northern Pintail/Avian,CY130428,CY130427,CY130426,CY130421,CY130424,CY130423,CY130422,CY130425,Alaska,A/northern pintail/Interior Alaska/10BM02585R0/2010,H4N6
2957,6/25/2010,Yes,USA,IRD:Northern Pintail/Avian,CY130452,CY130451,CY130450,CY130445,CY130448,CY130447,CY130446,CY130449,Alaska,A/northern pintail/Interior Alaska/10BM02791R0/2010,H4N6
